#N: 3053
#c i v
 3    794 -3.61822e-02 
 3    795 -1.06259e-01 
 3    796 -6.97139e-01 
 3    797 +1.75938e+00 
 3    798 +2.54749e+00 
 3    799 +7.73634e-02 
 3    800 +2.17222e+00 
 3    801 +5.68569e-01 
 3    802 -1.72873e+00 
 3    803 -2.41397e+00 
 3    804 -6.36690e-01 
 3    805 +1.76910e+00 
 3    806 -2.59602e+00 
 3    807 -6.07652e-01 
 3    808 +1.57034e+00 
 3    809 +2.13888e+00 
 3    810 +1.93758e+00 
 3    811 +1.76347e+00 
 3    812 -2.04505e+00 
 3    813 +9.67006e-02 
 3    814 +2.52379e+00 
 3    815 +1.24746e+00 
 3    816 -3.91195e-01 
 3    817 -2.54059e+00 
 3    818 -1.82741e+00 
 3    819 -1.00203e+00 
 3    820 -7.57128e-01 
 3    821 -2.29762e+00 
 3    822 -1.89298e+00 
 3    823 +1.73358e+00 
 3    824 +2.57574e+00 
 3    825 +2.38269e+00 
 3    826 +1.50171e+00 
 3    827 +3.08772e-01 
 3    828 +1.13040e+00 
 3    829 +1.49399e+00 
 3    830 +2.16215e-01 
 3    831 -2.92747e-01 
 3    832 -8.05315e-01 
 3    833 -3.61381e+00 
 3    834 -2.45766e+00 
 3    835 +2.40772e+00 
 3    836 +2.44104e+00 
 3    837 +1.02854e+00 
 3    838 +2.02365e+00 
 3    839 +1.26670e-01 
 3    840 +1.73555e+00 
 3    841 +4.84010e-01 
 3    842 +8.89690e-01 
 3    843 +1.94084e+00 
 3    844 -2.77554e+00 
 3    845 -2.78393e+00 
 3    846 -3.19576e+00 
 3    847 -1.38179e+00 
 3    848 +1.65688e+00 
 3    849 +8.90108e-01 
 3    850 -8.06182e-01 
 3    851 -1.15099e+00 
 3    852 -9.74888e-01 
 3    853 +1.20142e+00 
 3    854 +2.97299e+00 
 3    855 +1.61455e+00 
 3    856 +2.22281e+00 
 3    857 +4.20870e-01 
 3    858 -1.50310e+00 
 3    859 +1.27922e-01 
 3    860 +1.72217e+00 
 3    861 +2.70517e+00 
 3    862 -1.22282e-01 
 3    863 -6.92684e-01 
 3    864 +2.20893e+00 
 3    865 +2.59173e+00 
 3    866 +1.62449e+00 
 3    867 +1.59597e+00 
 3    868 +1.73179e+00 
 3    869 +1.46926e+00 
 3    870 +1.11708e+00 
